name;episodes;size;code;discount
"#Compass 2.0; Sentou Setsuri Kaiseki System";12;2.78;A4;0
.hack G.U. Returner (OVA);1;0.05;A1;0
.hack G.U. Trilogy BD (Movie);1;1.09;A1;0
.hack Gift (OVA);1;0.13;A1;0
.hack Liminality;4;0.38;A1;0
.hack Quantum BD;3;1.14;A1;0
.hack Roots;26;3.53;A1;0
.hack Sign;27;1.43;A1;0
.hack Tasogare no Udewa Densetsu;12;0.95;A1;0
.hack The Movie Sekai no Mukou ni BD (Movie);1;2.88;A1;0
".hack Versus; The Thanatos Report (Special)";1;0.06;A1;0
07-Ghost;25;5.34;A1;0
0-saiji Start Dash Monogatari;12;0.42;A4;0
100-man no Inochi no Ue ni Ore wa Tatteiru;12;2.91;A1;0
100-man no Inochi no Ue ni Ore wa Tatteiru 2nd Season;12;3.43;A1;0
11eyes BD;13;2.04;A1;0
"12-sai.; Chicchana Mune no Tokimeki";12;1.74;A1;0
"16bit Sensation; Another Layer BD";13;13.3;A4;0
180 Byou de Kimi no Mimi wo Shiawase ni Dekiru ka;12;0.55;A1;0
18if;13;1.96;A1;0
"2.43; Seiin Koukou Danshi Volley-bu";12;2.71;A1;0
2.5-jigen no Ririsa BD;24;11.29;A4;0
22 7 BD;13;4.89;A1;0
30-sai no Hoken Taiiku BD;12;0.53;A1;0
3-byougo, Yajuu. Goukon de Sumi ni Ita Kare wa Nikushoku deshita;8;0.74;A3;0
"3D Kanojo; Real Girl 2nd Season BD";12;3.94;A1;0
"3D Kanojo; Real Girl BD";12;4.29;A1;0
3-gatsu no Lion 2nd Season BD;22;11.23;A1;0
3-gatsu no Lion BD;22;2.85;A1;0
4-nin wa Sorezore Uso wo Tsuku BD;11;3.17;A2;0
5-toubun no Hanayome ∬ BD;12;5.13;A1;0
5-toubun no Hanayome BD;12;4.49;A1;0
5-toubun no Hanayome Movie BD (Movie);1;2.12;A1;0
5-toubun no Hanayome Special BD;2;0.75;A4;0
5-toubun no Hanayome∽;2;0.73;A1;0
7 Seeds;12;2.25;A1;0
7 Seeds 2nd Season;12;2.07;A1;0
86 BD;12;5.05;A1;0
86 Part 2 BD;14;6.53;A1;0
"9; Ruler's Crown";13;3.51;A4;0
91 Days BD;13;2.32;A1;0
A Day Before Us;10;0.11;A1;0
A Day Before Us 2;15;0.15;A1;0
A Kite BD;1;1.08;A3;0
A.D. Police (TV);15;1.43;A3;0
"A.I.C.O.; Incarnation";12;1.4;A1;0
A3! Season Spring & Summer;12;4.4;A1;0
Aa! Megami-sama! (2011);3;0.86;A1;0
Aa! Megami-sama! (TV);26;1.31;A1;0
"Aa! Megami-sama!; Sorezore no Tsubasa";26;1.72;A1;0
Abarenbou Rikishi Matsutarou;23;2.81;A1;0
Absolute Duo BD;12;2.98;A1;0
"ACCA; 13-ku Kansatsu-ka";12;1.86;A1;0
Accel World BD;26;4.67;A1;0
"Accel World; Infinite∞Burst BD (Movie)";1;1.99;A1;0
Acchi Kocchi BD;13;1.55;A1;0
A-Channel BD;14;1.51;A1;0
"A-Channel; +A-Channel BD";11;0.28;A1;0
Acro Trip;12;3.86;A4;0
Action Heroine Cheer Fruits;12;2.09;A1;0
"Active Raid; Kidou Kyoushuushitsu Dai Hachi Gakari";12;1.23;A1;0
"Active Raid; Kidou Kyoushuushitsu Dai Hachi Gakari 2nd";12;1.41;A1;0
"Actors; Songs Connection";12;2.17;A1;0
Adachi to Shimamura BD;12;3.54;A1;0
Africa no Salaryman (TV);12;1.83;A1;0
Afro Samurai;5;0.2;A1;0
"Afro Samurai; Resurrection BD (Movie)";1;0.68;A1;0
After War Gundam X;39;2.74;A2;0
"Aguu; Tensai Ningyou";12;0.99;A1;0
Aharen-san wa Hakarenai BD;12;4.87;A1;0
Aharen-san wa Hakarenai Season 2;12;2.68;A4;0
Ahiru no Sora;50;12.12;A1;0
Aho Girl BD;12;2.88;A1;0
AI no Idenshi;12;3.1;A3;0
Ai no Utagoe wo Kikasete BD (Movie);1;3.23;A1;0
Ai Tenchi Muyou!;60;3.48;A1;0
Ai Yori Aoshi;24;1.46;A1;0
"Ai Yori Aoshi; Enishi";14;0.9;A1;0
AIKa;7;1.92;A3;0
"AIKa R-16; Virgin Mission";3;0.13;A1;0
AIKa Zero BD;3;0.53;A1;0
Aikatsu;178;18.42;A1;0
Aikatsu Friends!;50;16.23;A1;0
"Aikatsu Friends!; Kagayaki no Jewel";26;8.46;A1;0
Aikatsu on Parade!;25;11.28;A1;0
Aikatsu on Parade! (ONA);6;0.63;A1;0
Aikatsu Planet!;25;10.1;A1;0
Aikatsu Stars!;100;9.32;A1;0
Aikatsu Stars! Movie (Movie);1;0.24;A1;0
"Aikatsu! 10th Story; Mirai e no Starway (2023) BD (Movie)";3;2.09;A3;0
"Aikatsu!; Nerawareta Mahou no Aikatsu! Card BD (Movie)";1;0.37;A1;0
Air BD;15;3.22;A1;0
Air Gear;28;1.96;A1;0
Air Movie BD (Movie);1;1.03;A1;0
Aishang Ta de Liyou;22;2.57;A3;0
Aishang Ta de Liyou Dub Jepang;12;4.47;A3;0
Aishen Qiaokeli-ing...;15;1.46;A1;0
Aishen Qiaokeli-ing...II;15;1.54;A1;0
Aishiteruze Baby★★;26;1.52;A1;0
Aiura BD;12;1.33;A1;0
Aiyou de Mishi;16;2;A3;0
Ajin BD;13;2.78;A1;0
"Ajin Part 1; Shoudou BD (Movie)";1;0.96;A1;0
Ajin Part 2 BD;13;2.25;A1;0
"Ajin Part 2; Shoutotsu BD (Movie)";1;2.75;A1;0
Akagami no Shirayuki-hime 2nd Season BD;12;3.19;A1;0
Akagami no Shirayuki-hime BD;12;3.43;A1;0
Akahori Gedou Hour Rabuge;13;0.82;A1;0
"Akai Kiba; Blue Sonnet";5;0.54;A3;0
Akai Koudan Zillion BD;31;4.88;A1;0
Akame ga Kill! BD;48;12.31;A1;0
Akaneiro ni Somaru Saka BD;13;2.05;A1;0
Akanesasu Shoujo;12;2.19;A1;0
Akatsuki no Yona BD;27;10.43;A1;0
Akazukin Chacha;77;8.23;A2;0
AKB0048 BD;13;2.87;A1;0
"AKB0048; Next Stage BD";13;3.71;A1;0
Akebi-chan no Sailor-fuku BD;12;6.55;A1;0
Aki no Kanade (Movie);1;0.11;A1;0
"Aki Sora; Yume no Naka BD";3;0.63;A1;0
Akiba Maid Sensou BD;12;4.27;A2;0
Akiba's Trip The Animation;13;1.79;A1;0
Akikan!;13;0.85;A1;0
Akira BD (Movie);1;0.93;A1;0
Akkun to Kanojo BD;25;1.33;A1;0
Aku no Hana;13;1.17;A1;0
Akudama Drive BD;13;8.03;A1;0
Akuma no Riddle BD;13;2.78;A1;0
Akuma-kun (2023);12;3.92;A3;0
"Akuyaku Reijou Level 99; Watashi wa Ura-Boss desu ga Maou dewa Arimasen BD";12;5.94;A3;0
Akuyaku Reijou nanode Last Boss wo Kattemimashita;12;2.42;A2;0
Akuyaku Reijou Tensei Ojisan;12;3.64;A4;0
